"","Iteration","rho"
"1",1,0.209991421806626
"2",2,0.296738213254139
"3",3,0.126071949815378
"4",4,0.148191672563553
"5",5,0.00750173341948539
"6",6,0.251617495645769
"7",7,0.0201091098133475
"8",8,0.0424110921565443
"9",9,0.107114476547576
"10",10,0.159136442863382
"11",11,0.16888914280571
"12",12,0.0805139770964161
"13",13,0.0983541526598856
"14",14,0.0237560373963788
"15",15,0.180493290675804
"16",16,0.19416705078911
"17",17,0.093459647311829
"18",18,0.175609863060527
"19",19,0.156449589226395
"20",20,0.263196894270368
"21",21,0.0340001032222062
"22",22,0.138896869495511
"23",23,0.14039230432827
"24",24,0.0863005210412666
"25",25,0.263309653708711
"26",26,0.0712155801476911
"27",27,0.204850411182269
"28",28,0.0696145531721413
"29",29,0.244962024665438
"30",30,0.235141902021132
"31",31,0.152317572967149
"32",32,0.192925482429564
"33",33,0.0424556507728994
"34",34,0.210961340088397
"35",35,0.00825943776872009
"36",36,0.0764609822072089
"37",37,0.0208925992716104
"38",38,0.148115748306736
"39",39,0.121229063230567
"40",40,0.165323341568001
"41",41,0.149376596231014
"42",42,0.00438596955500543
"43",43,0.225008081411943
"44",44,0.0187464786926284
"45",45,0.0400005114963278
"46",46,0.0525718689663336
"47",47,0.0497335582505912
"48",48,0.249537077173591
"49",49,0.172819079831243
"50",50,0.0159202859736979
"51",51,0.186228155228309
"52",52,0.276835382985882
"53",53,0.149578556371853
"54",54,0.012138225347735
"55",55,0.172438881034032
"56",56,0.129845103970729
"57",57,0.246351595921442
"58",58,0.0168604945298284
"59",59,0.169442120986059
"60",60,0.100111373607069
"61",61,0.14860189310275
"62",62,0.0264258563518524
"63",63,0.273898738366552
"64",64,0.161096885218285
"65",65,0.223449904052541
"66",66,0.293878079904243
"67",67,0.141928000026383
"68",68,0.286632586712949
"69",69,0.255586829851381
"70",70,0.192542873206548
"71",71,0.189037186070345
"72",72,0.053439589496702
"73",73,0.138864550972357
"74",74,0.143819285323843
"75",75,0.0944037920795381
"76",76,0.192130884295329
"77",77,0.245482979575172
"78",78,0.0798660003812984
"79",79,0.00570084191858768
"80",80,0.227314418228343
"81",81,0.0799371954984963
"82",82,0.283138666651212
"83",83,0.282374808378518
"84",84,0.257748601818457
"85",85,0.0148289915872738
"86",86,0.0840227264212444
"87",87,0.00353670995682478
"88",88,0.137914957827888
"89",89,0.19867168776691
"90",90,0.0338260479737073
"91",91,0.111334080132656
"92",92,0.283471906534396
"93",93,0.207277926709503
"94",94,0.106552610266954
"95",95,0.121221774676815
"96",96,0.0282221590401605
"97",97,0.215543451556005
"98",98,0.197904556430876
"99",99,0.0815895511535928
"100",100,0.216482151090167
