"","Iteration","prop_spec"
"1",1,0.108881094492972
"2",2,0.409558924613521
"3",3,0.331026288913563
"4",4,0.218877534149215
"5",5,0.142984991893172
"6",6,0.210456771543249
"7",7,0.0791597189381719
"8",8,0.423512492561713
"9",9,0.805561554385349
"10",10,0.412200537743047
"11",11,0.45514393877238
"12",12,0.456242841901258
"13",13,0.727555922232568
"14",14,0.614602054003626
"15",15,0.00903395586647093
"16",16,0.692498472519219
"17",17,0.380907281767577
"18",18,0.122947437921539
"19",19,0.34697827254422
"20",20,0.253385464427993
"21",21,0.138309766538441
"22",22,0.201361279934645
"23",23,0.296104319160804
"24",24,0.78385715582408
"25",25,0.68588744616136
"26",26,0.464991445653141
"27",27,0.166653546970338
"28",28,0.52859614463523
"29",29,0.136206959374249
"30",30,0.873239564942196
"31",31,0.889210275607184
"32",32,0.480447718175128
"33",33,0.342437171610072
"34",34,0.824571745935827
"35",35,0.131161235272884
"36",36,0.807595785940066
"37",37,0.810368144186214
"38",38,0.228935130871832
"39",39,0.289637075271457
"40",40,0.259411628823727
"41",41,0.041210021590814
"42",42,0.105039638699964
"43",43,0.498314288211986
"44",44,0.100206807954237
"45",45,0.666585745988414
"46",46,0.769067108165473
"47",47,0.310790995601565
"48",48,0.972074143355712
"49",49,0.369038118980825
"50",50,0.119180322159082
"51",51,0.0300362790003419
"52",52,0.767377251992002
"53",53,0.333983610151336
"54",54,0.830498415278271
"55",55,0.190298369154334
"56",56,0.405374249909073
"57",57,0.111815138719976
"58",58,0.852061280282214
"59",59,0.164489187300205
"60",60,0.954920112621039
"61",61,0.236656147055328
"62",62,0.114284027600661
"63",63,0.12546214950271
"64",64,0.41631712927483
"65",65,0.604315682779998
"66",66,0.674424738157541
"67",67,0.559043148998171
"68",68,0.6018322550226
"69",69,0.73478527716361
"70",70,0.986546292435378
"71",71,0.3503387584351
"72",72,0.767633369890973
"73",73,0.301348122302443
"74",74,0.429555514128879
"75",75,0.925122627289966
"76",76,0.188583218958229
"77",77,0.640678639756516
"78",78,0.65109915076755
"79",79,0.43791769631207
"80",80,0.482307528611273
"81",81,0.774887854000553
"82",82,0.599279398098588
"83",83,0.836502797435969
"84",84,0.231117235729471
"85",85,0.171319243730977
"86",86,0.186066463589668
"87",87,0.432209226302803
"88",88,0.808197802398354
"89",89,0.532407688442618
"90",90,0.800781586673111
"91",91,0.293475850252435
"92",92,0.674882456893101
"93",93,0.741782008204609
"94",94,0.324822312453762
"95",95,0.696353756822646
"96",96,0.357043673982844
"97",97,0.264074290171266
"98",98,0.200748247792944
"99",99,0.49952564924024
"100",100,0.895601843018085
