"","Iteration","rec_width"
"1",1,4.60850462783128
"2",2,8.87934401538223
"3",3,20.8661311282776
"4",4,24.8336587934755
"5",5,27.7411095919088
"6",6,5.06784031027928
"7",7,9.69294851529412
"8",8,27.654132764088
"9",9,26.8357980167493
"10",10,21.5980223694351
"11",11,21.5305632578675
"12",12,18.0378054035828
"13",13,26.9608158522751
"14",14,20.0399743868038
"15",15,11.5178837485146
"16",16,8.42554586450569
"17",17,25.5757601796649
"18",18,16.0945450917352
"19",19,11.700302512385
"20",20,28.6943402204197
"21",21,24.3411124872509
"22",22,11.093087552581
"23",23,29.1613534034695
"24",24,3.23363088048063
"25",25,19.3327423736919
"26",26,11.6106666640844
"27",27,9.55936768557876
"28",28,28.3716453993693
"29",29,24.049846584443
"30",30,10.6647423163522
"31",31,14.0377134976443
"32",32,19.7040437695105
"33",33,11.2440448722336
"34",34,17.5259553899523
"35",35,4.49609385780059
"36",36,7.19883186346851
"37",37,3.79297994496301
"38",38,22.3656309535727
"39",39,24.9900969662704
"40",40,27.297767624259
"41",41,16.1132275681011
"42",42,10.9517263134476
"43",43,9.79777548392303
"44",44,4.75141733209603
"45",45,9.76528902514838
"46",46,10.3164525388274
"47",47,6.26775100291707
"48",48,20.0308797054458
"49",49,20.1289848298766
"50",50,3.62902888795361
"51",51,28.2937749708071
"52",52,25.3578432050999
"53",53,7.44343102583662
"54",54,11.577567391796
"55",55,20.606343712192
"56",56,28.4006706895307
"57",57,5.65915223699994
"58",58,24.1328017017804
"59",59,23.1269177617505
"60",60,21.3979984531179
"61",61,21.1113932447042
"62",62,20.0643462245353
"63",63,11.7589971120469
"64",64,14.7351852916181
"65",65,3.76704995962791
"66",66,28.7487155101262
"67",67,7.80585943115875
"68",68,10.7930066515692
"69",69,3.55112424236722
"70",70,17.3400609421078
"71",71,17.6871482706629
"72",72,19.6430023082066
"73",73,26.5869317783508
"74",74,4.76393211912364
"75",75,13.3179924655706
"76",76,7.21134536806494
"77",77,27.2601785226725
"78",78,21.324973879382
"79",79,28.3204818265513
"80",80,6.13441333221272
"81",81,5.32891858136281
"82",82,16.3039526450448
"83",83,22.5052635069005
"84",84,25.8075122167356
"85",85,28.6201678204816
"86",86,21.776427261997
"87",87,4.60782431066036
"88",88,3.83339258283377
"89",89,27.9515002230182
"90",90,24.3290470854845
"91",91,27.1564461279195
"92",92,29.044630452292
"93",93,29.6986636114307
"94",94,8.93762587965466
"95",95,20.6408187816851
"96",96,8.6548659845721
"97",97,26.5381870216224
"98",98,10.8069877980743
"99",99,21.0574815727305
"100",100,15.7105895450804
