"","Iteration","rec_height"
"1",1,0.00824618781916797
"2",2,0.178409095387906
"3",3,0.700340619310737
"4",4,0.809927753871307
"5",5,0.814314844552428
"6",6,0.527180461212993
"7",7,0.776610800996423
"8",8,0.108114849077538
"9",9,0.362560319481418
"10",10,0.903242188272998
"11",11,0.116624035872519
"12",12,0.136805266374722
"13",13,0.920602163532749
"14",14,0.733749379403889
"15",15,0.605968238553032
"16",16,0.50858560949564
"17",17,0.981989174382761
"18",18,0.846665397286415
"19",19,0.437371446518227
"20",20,0.534528137650341
"21",21,0.496245244052261
"22",22,0.53626847662963
"23",23,0.643061960116029
"24",24,0.601651821751148
"25",25,0.999232701025903
"26",26,0.457978344289586
"27",27,0.609407397918403
"28",28,0.486633288208395
"29",29,0.765929229557514
"30",30,0.404093656223267
"31",31,0.713624611729756
"32",32,0.348115629050881
"33",33,0.86210881662555
"34",34,0.696187031455338
"35",35,0.254087237408385
"36",36,0.0663694650866091
"37",37,0.473688202444464
"38",38,0.703816140303388
"39",39,0.631698383484036
"40",40,0.0827205660752952
"41",41,0.714951083995402
"42",42,0.593371842056513
"43",43,0.554540942655876
"44",44,0.448194921482354
"45",45,0.118491852190346
"46",46,0.672115557594225
"47",47,0.132587501313537
"48",48,0.467417417559773
"49",49,0.558747582370415
"50",50,0.595102443592623
"51",51,0.500880373874679
"52",52,0.174119752598926
"53",53,0.590568407904357
"54",54,0.268255649367347
"55",55,0.528333069290966
"56",56,0.610804315423593
"57",57,0.965440793894231
"58",58,0.600061146076769
"59",59,0.387358589563519
"60",60,0.15640901052393
"61",61,0.405373938614503
"62",62,0.712338332319632
"63",63,0.523449505446479
"64",64,0.13447860092856
"65",65,0.0457956206519157
"66",66,0.412650969112292
"67",67,0.606318316888064
"68",68,0.271425404353067
"69",69,0.505576382158324
"70",70,0.40444045769982
"71",71,0.853550076717511
"72",72,0.90018248767592
"73",73,0.141309648519382
"74",74,0.744138256646693
"75",75,0.093325519701466
"76",76,0.402771060355008
"77",77,0.826818620786071
"78",78,0.877528203418478
"79",79,0.946922360686585
"80",80,0.606557023944333
"81",81,0.47400533570908
"82",82,0.952527715824544
"83",83,0.0535066635347903
"84",84,0.540031056851149
"85",85,0.14793033641763
"86",86,0.0532278358004987
"87",87,0.336243594996631
"88",88,0.610500826733187
"89",89,0.287980496883392
"90",90,0.398540302412584
"91",91,0.969822462880984
"92",92,0.979460551170632
"93",93,0.876391201512888
"94",94,0.689858568133786
"95",95,0.962444786913693
"96",96,0.892882233019918
"97",97,0.476413666503504
"98",98,0.139610001817346
"99",99,0.987595082260668
"100",100,0.178803084651008
