"","Iteration","step","step_spec"
"1",1,0.104927248833003,0.629563492998015
"2",2,0.0920611527443398,0.552366916466039
"3",3,0.0826206442217808,0.495723865330685
"4",4,0.0220909356463235,0.132545613877941
"5",5,0.109899676430505,0.659398058583029
"6",6,0.0220925066282507,0.132555039769504
"7",7,0.0310692051476799,0.186415230886079
"8",8,0.00516271598776802,0.0309762959266081
"9",9,0.073593589181779,0.441561535090674
"10",10,0.08721101223398,0.52326607340388
"11",11,0.125430674081203,0.752584044487216
"12",12,0.135423780700425,0.812542684202548
"13",13,0.0304751062628347,0.182850637577008
"14",14,0.146459865287878,0.878759191727266
"15",15,0.0477310592073482,0.286386355244089
"16",16,0.0764671926607843,0.458803155964706
"17",17,0.112243521032855,0.67346112619713
"18",18,0.0745494713208172,0.447296827924903
"19",19,0.0876885066123214,0.526131039673928
"20",20,0.01376026667119,0.0825616000271402
"21",21,0.0835696528118569,0.501417916871142
"22",22,0.0827430630335584,0.496458378201351
"23",23,0.0222281679809093,0.133369007885456
"24",24,0.0316655349559151,0.18999320973549
"25",25,0.105510373081779,0.633062238490675
"26",26,0.0618885048686061,0.371331029211637
"27",27,0.0294694623241667,0.176816773945
"28",28,0.14547013859055,0.8728208315433
"29",29,0.149311470128363,0.895868820770178
"30",30,0.0160931710863952,0.0965590265183709
"31",31,0.145354820697568,0.87212892418541
"32",32,0.0818557359175757,0.491134415505454
"33",33,0.0431471034130082,0.258882620478049
"34",34,0.103711247694446,0.622267486166675
"35",35,0.114956335947849,0.689738015687093
"36",36,0.106179615545785,0.63707769327471
"37",37,0.0395962770108599,0.23757766206516
"38",38,0.0534373300550506,0.320623980330303
"39",39,0.0940544209552463,0.564326525731478
"40",40,0.0294014336098917,0.17640860165935
"41",41,0.098296670661075,0.58978002396645
"42",42,0.0882974866342265,0.529784919805359
"43",43,0.057127362996107,0.342764177976642
"44",44,0.00802967797103338,0.0481780678262003
"45",45,0.0286143731561024,0.171686238936614
"46",46,0.0520329580048565,0.312197748029139
"47",47,0.0186834796969779,0.112100878181867
"48",48,0.116496712868568,0.698980277211405
"49",49,0.0218596809592564,0.131158085755538
"50",50,0.108016595582012,0.648099573492072
"51",51,0.020542055426864,0.123252332561184
"52",52,0.112705404289998,0.676232425739989
"53",53,0.0432342717826832,0.259405630696099
"54",54,0.0754104100062978,0.452462460037787
"55",55,0.118585278874729,0.711511673248373
"56",56,0.0326093937268015,0.195656362360809
"57",57,0.0227981824888848,0.136789094933309
"58",58,0.0223509081772063,0.134105449063238
"59",59,0.0237121832016855,0.142273099210113
"60",60,0.137430263074348,0.824581578446086
"61",61,0.113268135678023,0.679608814068139
"62",62,0.119508712035837,0.71705227221502
"63",63,0.129131095471559,0.774786572829355
"64",64,0.127073832123308,0.762442992739845
"65",65,0.058599174833158,0.351595048998948
"66",66,0.0180020505359862,0.108012303215917
"67",67,0.0600523013034835,0.360313807820901
"68",68,0.0590696211629547,0.354417726977728
"69",69,0.0776175950698089,0.465705570418853
"70",70,0.0867636501521338,0.520581900912803
"71",71,0.107565054495353,0.64539032697212
"72",72,0.0780194746507332,0.468116847904399
"73",73,0.00245145977381617,0.014708758642897
"74",74,0.0364312324470375,0.218587394682225
"75",75,0.0553373022549786,0.332023813529871
"76",76,0.145603569505503,0.87362141703302
"77",77,0.0864151971396059,0.518491182837635
"78",78,0.133702629185282,0.80221577511169
"79",79,0.126101258075796,0.756607548454776
"80",80,0.0634729553535581,0.380837732121348
"81",81,0.0690082363153342,0.414049417892005
"82",82,0.0307308298156131,0.184384978893679
"83",83,0.142843501387164,0.857061008322984
"84",84,0.0816457417670172,0.489874450602103
"85",85,0.0686648015708197,0.411988809424918
"86",86,0.0281396501294803,0.168837900776882
"87",87,0.14512783982791,0.87076703896746
"88",88,0.0739362606033683,0.44361756362021
"89",89,0.0436141172007192,0.261684703204315
"90",90,0.0592770405253395,0.355662243152037
"91",91,0.0760100110399071,0.456060066239443
"92",92,0.0715287055443041,0.429172233265825
"93",93,0.145309279116569,0.871855674699414
"94",94,0.0267587458794005,0.160552475276403
"95",95,0.0716474711743649,0.429884827046189
"96",96,0.099543068759609,0.597258412557654
"97",97,0.0637092471462674,0.382255482877605
"98",98,0.012331125324592,0.073986751947552
"99",99,0.133165353123331,0.798992118739989
"100",100,0.0642300724422094,0.385380434653256
