"","Iteration","learn_rate"
"1",1,0.108163535289932
"2",2,0.157723647735547
"3",3,0.282850850273389
"4",4,0.264121577567421
"5",5,0.111474275109358
"6",6,0.194278589615133
"7",7,0.0258202303061262
"8",8,0.248099739144091
"9",9,0.116858799180482
"10",10,0.276528392957989
"11",11,0.108040945921093
"12",12,0.150368766421452
"13",13,0.270108770790976
"14",14,0.232741423072293
"15",15,0.189723679351155
"16",16,0.257045264001936
"17",17,0.221166552377399
"18",18,0.0307694083964452
"19",19,0.270232412337791
"20",20,0.192903083888814
"21",21,0.101178329749964
"22",22,0.196942316615023
"23",23,0.214016799584497
"24",24,0.289314477017615
"25",25,0.114623695444316
"26",26,0.0553827523090877
"27",27,0.0810045953420922
"28",28,0.174142485880293
"29",29,0.14648396584671
"30",30,0.0318995048687793
"31",31,0.126917598829605
"32",32,0.299359082763549
"33",33,0.212077818959951
"34",34,0.0681216811994091
"35",35,0.154024983271956
"36",36,0.297538083139807
"37",37,0.178811970918905
"38",38,0.0944919202034361
"39",39,0.0435574968811125
"40",40,0.177976430938579
"41",41,0.178229718462098
"42",42,0.126738092189189
"43",43,0.0833251077332534
"44",44,0.0168931281846017
"45",45,0.269155593288597
"46",46,0.133587681285571
"47",47,0.045117092160508
"48",48,0.247712890782859
"49",49,0.240534968411084
"50",50,0.0360898666246794
"51",51,0.0316655758535489
"52",52,0.0381803253619
"53",53,0.0436636283714324
"54",54,0.22469867475098
"55",55,0.255878953039646
"56",56,0.260643036731053
"57",57,0.148515137126669
"58",58,0.127181043047458
"59",59,0.276597815030254
"60",60,0.230563643421046
"61",61,0.0568152104178444
"62",62,0.200849987189285
"63",63,0.0660303894570097
"64",64,0.177531091528945
"65",65,0.27598237416707
"66",66,0.208304152700584
"67",67,0.256756652251352
"68",68,0.153107161191292
"69",69,0.0653285211836919
"70",70,0.205733232889324
"71",71,0.0264579188963398
"72",72,0.216328685372137
"73",73,0.113250805342104
"74",74,0.0609655763115734
"75",75,0.227774543706328
"76",76,0.0571639816579409
"77",77,0.163590616509318
"78",78,0.296989943247754
"79",79,0.158903303255793
"80",80,0.253251885559875
"81",81,0.11267146127997
"82",82,0.0116163613717072
"83",83,0.103139227856882
"84",84,0.245402551426087
"85",85,0.186225371032488
"86",86,0.29535733128665
"87",87,0.090795449425932
"88",88,0.0158247231156565
"89",89,0.132845053488854
"90",90,0.0851418115431443
"91",91,0.295886905500665
"92",92,0.0800380443152972
"93",93,0.228085158285685
"94",94,0.278058705104049
"95",95,0.238588329837658
"96",96,0.251391268123407
"97",97,0.178655903276522
"98",98,0.0757935072435066
"99",99,0.163339448601473
"100",100,0.0668651187140495
