"","Iteration","rec_height"
"1",1,0.0112857948988676
"2",2,0.942562200129032
"3",3,0.389691490214318
"4",4,0.20431504282169
"5",5,0.279877197695896
"6",6,0.0950427684001625
"7",7,0.711730477400124
"8",8,0.56079752696678
"9",9,0.142600887222216
"10",10,0.318257275735959
"11",11,0.937972278799862
"12",12,0.498658536700532
"13",13,0.621109787374735
"14",14,0.393482209183276
"15",15,0.18807668518275
"16",16,0.146103089908138
"17",17,0.999020880321041
"18",18,0.769054513657466
"19",19,0.125287134665996
"20",20,0.640734492335469
"21",21,0.166594382608309
"22",22,0.80418452527374
"23",23,0.597951241536066
"24",24,0.607474497985095
"25",25,0.0690217423252761
"26",26,0.191012241877615
"27",27,0.528064022539183
"28",28,0.924679007846862
"29",29,0.0870013413950801
"30",30,0.95431236573495
"31",31,0.42227775324136
"32",32,0.450798185309395
"33",33,0.18499877024442
"34",34,0.302050715778023
"35",35,0.296747895423323
"36",36,0.365244971355423
"37",37,0.226738996803761
"38",38,0.871190882055089
"39",39,0.768711074255407
"40",40,0.256549976067618
"41",41,0.114827557699755
"42",42,0.691342907492071
"43",43,0.388104468118399
"44",44,0.119446735829115
"45",45,0.536122972844169
"46",46,0.235827724216506
"47",47,0.384228595998138
"48",48,0.549634950002655
"49",49,0.780572650022805
"50",50,0.57961127278395
"51",51,0.135160337202251
"52",52,0.358866929076612
"53",53,0.636411005165428
"54",54,0.355361760128289
"55",55,0.204977945890278
"56",56,0.512796072289348
"57",57,0.850562192499638
"58",58,0.397995312465355
"59",59,0.249838548246771
"60",60,0.245859225047752
"61",61,0.10556061193347
"62",62,0.905729273101315
"63",63,0.0922373363282531
"64",64,0.222225064877421
"65",65,0.549077287781984
"66",66,0.860829659970477
"67",67,0.084356744075194
"68",68,0.184469570638612
"69",69,0.396883872337639
"70",70,0.917081707855687
"71",71,0.698195493081585
"72",72,0.913033421617001
"73",73,0.57129052747041
"74",74,0.388266163878143
"75",75,0.874336948618293
"76",76,0.829848884837702
"77",77,0.617480465443805
"78",78,0.88796222070232
"79",79,0.81911778752692
"80",80,0.335352798458189
"81",81,0.594852793496102
"82",82,0.392064644256607
"83",83,0.345138932578266
"84",84,0.0931378495879471
"85",85,0.24237120244652
"86",86,0.480559232877567
"87",87,0.336146345594898
"88",88,0.399033211637288
"89",89,0.916747241979465
"90",90,0.985082695027813
"91",91,0.386722195195034
"92",92,0.425447337795049
"93",93,0.814604402752593
"94",94,0.582239962182939
"95",95,0.356338683981448
"96",96,0.836573092965409
"97",97,0.57893028552644
"98",98,0.0832449491135776
"99",99,0.121169913792983
"100",100,0.823210445931181
