"","Iteration","base_x","base_x_spec"
"1",1,0.0645234041847289,0.645234041847289
"2",2,0.0890060445992276,0.890060445992276
"3",3,0.0275613167556003,0.275613167556003
"4",4,0.0276747883530334,0.276747883530334
"5",5,0.0833275807322934,0.833275807322934
"6",6,0.0105386712122709,0.105386712122709
"7",7,0.0425328243523836,0.425328243523836
"8",8,0.0372636492131278,0.372636492131278
"9",9,0.0417035885388032,0.417035885388032
"10",10,0.0668206618633121,0.668206618633121
"11",11,0.0746324829757214,0.746324829757214
"12",12,0.0525718175107613,0.525718175107613
"13",13,0.057348024030216,0.57348024030216
"14",14,0.0706830339506268,0.706830339506269
"15",15,0.0534444808261469,0.534444808261469
"16",16,0.0130458037601784,0.130458037601784
"17",17,0.0231567602138966,0.231567602138966
"18",18,0.0325554270297289,0.325554270297289
"19",19,0.0314642606768757,0.314642606768757
"20",20,0.0938054463127628,0.938054463127628
"21",21,0.0807937348261476,0.807937348261476
"22",22,0.0137073328020051,0.137073328020051
"23",23,0.0808825301006436,0.808825301006436
"24",24,0.0454663354437798,0.454663354437798
"25",25,0.0369017061777413,0.369017061777413
"26",26,0.0685388110112399,0.685388110112399
"27",27,0.0706557104829699,0.706557104829699
"28",28,0.035026094596833,0.35026094596833
"29",29,0.0392863592365757,0.392863592365757
"30",30,0.00329454762395471,0.0329454762395471
"31",31,0.065881004719995,0.65881004719995
"32",32,0.0155915992101654,0.155915992101654
"33",33,0.0119605934713036,0.119605934713036
"34",34,0.0523101599887013,0.523101599887013
"35",35,0.0864088025176898,0.864088025176898
"36",36,0.0521153425564989,0.521153425564989
"37",37,0.032282265368849,0.32282265368849
"38",38,0.0294497360242531,0.294497360242531
"39",39,0.0703422705642879,0.703422705642879
"40",40,0.0789493882330135,0.789493882330135
"41",41,0.0314297242322937,0.314297242322937
"42",42,0.0364123506704345,0.364123506704345
"43",43,0.00913336772937328,0.0913336772937328
"44",44,0.0127254905644804,0.127254905644804
"45",45,0.0464832128491253,0.464832128491253
"46",46,0.0997050532139838,0.997050532139838
"47",47,0.0105908163124695,0.105908163124695
"48",48,0.0366693590767682,0.366693590767682
"49",49,0.0711765795713291,0.711765795713291
"50",50,0.00269956532865763,0.0269956532865763
"51",51,0.0570263733621687,0.570263733621687
"52",52,0.0319482879247516,0.319482879247516
"53",53,0.0477215047925711,0.477215047925711
"54",54,0.0376875984715298,0.376875984715298
"55",55,0.0601594377076253,0.601594377076253
"56",56,0.0294515138026327,0.294515138026327
"57",57,0.0779997882433236,0.779997882433236
"58",58,0.0280887098517269,0.280887098517269
"59",59,0.004313008999452,0.0431300899945199
"60",60,0.0687416312284768,0.687416312284768
"61",61,0.097822250588797,0.97822250588797
"62",62,0.0644876385340467,0.644876385340467
"63",63,0.0799737870460376,0.799737870460376
"64",64,0.0170858782716095,0.170858782716095
"65",65,0.0108519207919016,0.108519207919016
"66",66,0.0705430308124051,0.70543030812405
"67",67,0.0405979798641056,0.405979798641056
"68",68,0.01896559051238,0.1896559051238
"69",69,0.0986258582444862,0.986258582444862
"70",70,0.0635489645879716,0.635489645879716
"71",71,0.0531332233222201,0.531332233222201
"72",72,0.0957607456482947,0.957607456482947
"73",73,0.0685991141945124,0.685991141945124
"74",74,0.0590398886241019,0.590398886241019
"75",75,0.0835999000584707,0.835999000584707
"76",76,0.0295159332221374,0.295159332221374
"77",77,0.0367010490968823,0.367010490968823
"78",78,0.0564189309487119,0.564189309487119
"79",79,0.0817419347818941,0.817419347818941
"80",80,0.0360381259350106,0.360381259350106
"81",81,0.0147012459579855,0.147012459579855
"82",82,0.0041419796878472,0.041419796878472
"83",83,0.0358041760744527,0.358041760744527
"84",84,0.0317532091867179,0.317532091867179
"85",85,0.024494473147206,0.24494473147206
"86",86,0.0937884480459616,0.937884480459616
"87",87,0.0508029286982492,0.508029286982492
"88",88,0.0672976228175685,0.672976228175685
"89",89,0.0699650746071711,0.699650746071711
"90",90,0.014486504951492,0.14486504951492
"91",91,0.0871676058275625,0.871676058275625
"92",92,0.0105800280580297,0.105800280580297
"93",93,0.0788432578090578,0.788432578090578
"94",94,0.0313334278063849,0.313334278063849
"95",95,0.0161870409268886,0.161870409268886
"96",96,0.0883583482354879,0.883583482354879
"97",97,0.0354143409989774,0.354143409989774
"98",98,0.00926026527304202,0.0926026527304202
"99",99,0.0977188672870398,0.977188672870398
"100",100,0.0462795894593,0.462795894593
