"","Iteration","w"
"1",1,1634.45032028249
"2",2,115.831281337887
"3",3,779.820254328661
"4",4,816.382448724471
"5",5,1274.04142224696
"6",6,510.276103881188
"7",7,3445.93666162109
"8",8,2590.61209855136
"9",9,781.043288239744
"10",10,1697.02891296474
"11",11,3272.98310389742
"12",12,992.93232668424
"13",13,472.109346045181
"14",14,2823.71427536709
"15",15,3352.35160888406
"16",16,3028.05755531881
"17",17,2798.70817329502
"18",18,906.002131232526
"19",19,3528.02878201474
"20",20,1694.96321475599
"21",21,2585.84836332593
"22",22,1874.65008312138
"23",23,2482.86130703054
"24",24,1243.23301940458
"25",25,3086.28616048954
"26",26,2066.52362828609
"27",27,1083.41225777986
"28",28,2482.29875514517
"29",29,196.007215371355
"30",30,3087.06617407734
"31",31,3028.64271592116
"32",32,287.758034933358
"33",33,360.864757501986
"34",34,3321.98276830604
"35",35,3188.6744834017
"36",36,3067.11212982191
"37",37,2302.39582677605
"38",38,793.920529366005
"39",39,3445.76394663891
"40",40,2721.32938239956
"41",41,2357.19786746195
"42",42,856.526742340066
"43",43,1705.74696226977
"44",44,2221.92163214786
"45",45,1779.28786441917
"46",46,1838.34307901561
"47",47,2065.76196289388
"48",48,2106.75768041983
"49",49,2075.44695134275
"50",50,2356.87420037575
"51",51,468.714129005093
"52",52,2448.28912955709
"53",53,1370.96986371325
"54",54,1414.25143691013
"55",55,2387.55890511675
"56",56,1603.1037318171
"57",57,1516.00825319765
"58",58,2149.33736484963
"59",59,3446.27503971569
"60",60,3355.18444915069
"61",61,1965.56980460882
"62",62,1513.56777931796
"63",63,3003.02442817483
"64",64,3224.83069846639
"65",65,634.307003067806
"66",66,1666.60850513726
"67",67,1920.6059680786
"68",68,1813.50345537066
"69",69,1624.71267455257
"70",70,2999.43348098313
"71",71,3136.80752826622
"72",72,1869.6563528385
"73",73,3275.75935248751
"74",74,2812.38511926495
"75",75,3168.28209222294
"76",76,2608.21029538056
"77",77,122.82734180335
"78",78,753.133251261897
"79",79,1151.82610199554
"80",80,3131.40639847843
"81",81,3124.28013506578
"82",82,3201.19845870649
"83",83,2895.33849393483
"84",84,2898.27937344089
"85",85,1129.75754748331
"86",86,1230.59600453125
"87",87,2431.3530734973
"88",88,2666.65598070249
"89",89,1085.95438734628
"90",90,1555.36473994143
"91",91,2874.90630656248
"92",92,957.010037859436
"93",93,3401.71563060721
"94",94,2868.13580552116
"95",95,1778.71427084319
"96",96,954.574716929346
"97",97,920.851234672591
"98",98,1835.50895593362
"99",99,3357.5478376355
"100",100,796.92825905513
