"","Iteration","cmax"
"1",1,5.2605361614842
"2",2,6.63691606977955
"3",3,4.72688189032488
"4",4,7.34269066900015
"5",5,5.61512117995881
"6",6,4.60748336859979
"7",7,4.91518548992462
"8",8,8.33827989688143
"9",9,1.00701427203603
"10",10,2.0280689203646
"11",11,3.00289391726255
"12",12,8.30068879621103
"13",13,2.49340349528939
"14",14,9.13123617554083
"15",15,8.40276423748583
"16",16,4.2330135316588
"17",17,1.68784253578633
"18",18,8.17064025555737
"19",19,2.11195640917867
"20",20,4.32831247453578
"21",21,8.95250186999328
"22",22,3.40976714412682
"23",23,7.83307063882239
"24",24,5.61384216230363
"25",25,1.36851777834818
"26",26,1.73376145539805
"27",27,7.31618590303697
"28",28,4.8191087001469
"29",29,8.84157004277222
"30",30,8.37025991268456
"31",31,9.63402111688629
"32",32,5.79936394025572
"33",33,6.46896584541537
"34",34,5.53742848336697
"35",35,2.10292308335193
"36",36,8.8820249568671
"37",37,6.79148146975785
"38",38,7.89049635874107
"39",39,7.2173997531645
"40",40,4.50872349389829
"41",41,6.22389725875109
"42",42,4.96670737862587
"43",43,8.34407942788675
"44",44,9.6214318042621
"45",45,4.42909111594781
"46",46,9.75775333191268
"47",47,2.36933914734982
"48",48,3.77529941219836
"49",49,2.66558686993085
"50",50,6.14739764854312
"51",51,2.31571195297875
"52",52,4.0926497746259
"53",53,8.12002530344762
"54",54,4.1364138724748
"55",55,5.18009929265827
"56",56,2.49806069023907
"57",57,8.21478701662272
"58",58,6.53063957672566
"59",59,4.47324185422622
"60",60,9.82000970188528
"61",61,6.31811135495082
"62",62,2.76627765852027
"63",63,1.26071618753485
"64",64,4.711684320122
"65",65,9.96140184928663
"66",66,6.30763342487626
"67",67,4.85562950512394
"68",68,1.26164287189022
"69",69,1.16074657579884
"70",70,5.80395393120125
"71",71,7.69500665180385
"72",72,6.38408330315724
"73",73,9.15629731793888
"74",74,9.82629136834294
"75",75,6.78436460532248
"76",76,9.11786317173392
"77",77,9.82676552422345
"78",78,7.4688944935333
"79",79,8.69207921880297
"80",80,3.78823768650182
"81",81,8.67563928919844
"82",82,5.39483620668761
"83",83,1.22638064529747
"84",84,4.86350093153305
"85",85,8.16058195079677
"86",86,7.49182720459066
"87",87,3.60757066705264
"88",88,7.89935463690199
"89",89,6.955883116927
"90",90,4.73023179336451
"91",91,9.71379092242569
"92",92,5.9499978357926
"93",93,8.83458524360321
"94",94,4.48621493228711
"95",95,2.80331728234887
"96",96,4.95296258083545
"97",97,4.73614493268542
"98",98,6.45341616612859
"99",99,3.9613018357195
"100",100,9.57421449851245
