"","Iteration","Alpha"
"1",1,0.524273027363233
"2",2,0.115691936039366
"3",3,0.587708118138835
"4",4,0.581808867305517
"5",5,0.302665841928683
"6",6,0.102257258212194
"7",7,0.71982309720479
"8",8,0.76102997767739
"9",9,0.583557385439053
"10",10,0.398273957218044
"11",11,0.258378954138607
"12",12,0.498543768678792
"13",13,0.681901313876733
"14",14,0.550289413076825
"15",15,0.473891660920344
"16",16,0.300418297899887
"17",17,0.679941494204104
"18",18,0.65794421248138
"19",19,0.575367776816711
"20",20,0.216285314247943
"21",21,0.108844753960148
"22",22,0.67956311206799
"23",23,0.337843220378272
"24",24,0.381502359523438
"25",25,0.786129328701645
"26",26,0.667706051981077
"27",27,0.180726136593148
"28",28,0.116250807745382
"29",29,0.223322191415355
"30",30,0.384175387164578
"31",31,0.544182653119788
"32",32,0.18821228875313
"33",33,0.638274933514185
"34",34,0.485753919789568
"35",35,0.555588669702411
"36",36,0.463509807712398
"37",37,0.564865587721579
"38",38,0.524022624455392
"39",39,0.188038016762584
"40",40,0.186149684991688
"41",41,0.75890127972234
"42",42,0.438125547184609
"43",43,0.661435787891969
"44",44,0.67633320549503
"45",45,0.408004259155132
"46",46,0.704671296523884
"47",47,0.344303319556639
"48",48,0.615247701108456
"49",49,0.250786875281483
"50",50,0.257555329822935
"51",51,0.349827368999831
"52",52,0.779213426471688
"53",53,0.392242443840951
"54",54,0.100356682133861
"55",55,0.320845997682773
"56",56,0.178399257105775
"57",57,0.28294763234444
"58",58,0.416901036794297
"59",59,0.404507432319224
"60",60,0.141438713110983
"61",61,0.231557728373446
"62",62,0.467242761910893
"63",63,0.753489194950089
"64",64,0.499697105609812
"65",65,0.493039739062078
"66",66,0.297317999228835
"67",67,0.789781103632413
"68",68,0.453207572246902
"69",69,0.155141128064133
"70",70,0.74473059901502
"71",71,0.169756065891124
"72",72,0.459377521742135
"73",73,0.27007479085587
"74",74,0.372968390979804
"75",75,0.40146769983694
"76",76,0.688133092666976
"77",77,0.673433640808798
"78",78,0.353276192094199
"79",79,0.763288457598537
"80",80,0.467513052956201
"81",81,0.177622930007055
"82",82,0.756449092924595
"83",83,0.197772507974878
"84",84,0.369824630697258
"85",85,0.646385241555981
"86",86,0.251369664352387
"87",87,0.348746640793979
"88",88,0.519955924502574
"89",89,0.652708313427866
"90",90,0.632900055125356
"91",91,0.163929016981274
"92",92,0.376473964704201
"93",93,0.625545568834059
"94",94,0.685525320679881
"95",95,0.367159299692139
"96",96,0.348632475873455
"97",97,0.320338515168987
"98",98,0.291963991918601
"99",99,0.695757926884107
"100",100,0.312310269591399
