"","Iteration","decay"
"1",1,0.279186254111119
"2",2,0.122690020571463
"3",3,0.133727574557997
"4",4,0.0983598010148853
"5",5,0.214378617703915
"6",6,0.15286564452108
"7",7,0.174285566923209
"8",8,0.148215854214504
"9",9,0.291929581551813
"10",10,0.251400402816944
"11",11,0.0985517574939877
"12",12,0.291886963904835
"13",13,0.0985472296597436
"14",14,0.0989033223828301
"15",15,0.218178721563891
"16",16,0.203507140721194
"17",17,0.222853784565814
"18",18,0.203889969340526
"19",19,0.0736846968764439
"20",20,0.207302102353424
"21",21,0.152976408018731
"22",22,0.0331449178280309
"23",23,0.221218557609245
"24",24,0.276039527216926
"25",25,0.29893176429905
"26",26,0.285350896557793
"27",27,0.254044304648414
"28",28,0.210987664433196
"29",29,0.213759430800565
"30",30,0.172946717147715
"31",31,0.179592164000496
"32",32,0.0326359564438462
"33",33,0.236665182095021
"34",34,0.254658462479711
"35",35,0.156087764538825
"36",36,0.0987124445848167
"37",37,0.193912755791098
"38",38,0.0767422350822017
"39",39,0.268981470633298
"40",40,0.000563204870559275
"41",41,0.226992070768028
"42",42,0.0217419111868367
"43",43,0.0909860598156229
"44",44,0.00446067326702178
"45",45,0.239127686689608
"46",46,0.169215162098408
"47",47,0.272303977282718
"48",48,0.0388673898763955
"49",49,0.219203087221831
"50",50,0.152903185109608
"51",51,0.191696696192957
"52",52,0.185034484905191
"53",53,0.196654245117679
"54",54,0.0421350713353604
"55",55,0.268702332302928
"56",56,0.268084639264271
"57",57,0.194023010646924
"58",58,0.243176365108229
"59",59,0.0348312550457194
"60",60,0.129954274278134
"61",61,0.0980598788475618
"62",62,0.102429733076133
"63",63,0.0268658526241779
"64",64,0.0907899051206186
"65",65,0.284400050388649
"66",66,0.166709204949439
"67",67,0.0794080773135647
"68",68,0.0571602001553401
"69",69,0.266067365859635
"70",70,0.0470309200230986
"71",71,0.0836377025814727
"72",72,0.130259015411139
"73",73,0.0778142211958766
"74",74,0.082896002358757
"75",75,0.175113605917431
"76",76,0.0745356937637553
"77",77,0.230842670216225
"78",78,0.114682164788246
"79",79,0.242857111128978
"80",80,0.095687406999059
"81",81,0.281844465667382
"82",82,0.210306274238974
"83",83,0.115035205031745
"84",84,0.0888014799216762
"85",85,0.171902852458879
"86",86,0.267422696901485
"87",87,0.084742726245895
"88",88,0.033279207861051
"89",89,0.268621411803179
"90",90,0.0999718084232882
"91",91,0.103028799430467
"92",92,0.20114421879407
"93",93,0.282973139919341
"94",94,0.2109718400985
"95",95,0.150756402150728
"96",96,0.291055873548612
"97",97,0.056001574639231
"98",98,0.164180647744797
"99",99,0.155711030960083
"100",100,0.19901233445853
